C3, 45.22, 10.72, 270.00, 1uF, C0603
C5, 40.38, 11.61, 0.00, 180uF, PANASONIC_C
D1, 41.81, 17.00, 180.00, SMBJ7.0A, DIOM5336X244N
FD1, 12.50, 5.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD2, 60.50, 5.00, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
FD3, 59.50, 109.50, 0.00, FIDUCIAL1X2, FIDUCIAL-1X2
L1, 42.16, 25.40, 270.00, 744252101, 744252101
R1, 30.48, 32.00, 0.00, 10k, R0603
R12, 30.48, 48.77, 0.00, 10k, R0603
R15, 30.48, 51.31, 180.00, 10k, R0603
R16, 30.48, 53.85, 0.00, 10k, R0603
R17, 30.48, 56.39, 0.00, 10k, R0603
R18, 30.48, 58.93, 180.00, 10k, R0603
R19, 30.48, 61.47, 0.00, 10k, R0603
R2, 30.48, 34.54, 180.00, 10k, R0603
R21, 7.11, 72.64, 270.00, 75R, R0603
R25, 30.48, 66.55, 0.00, 10k, R0603
R26, 30.48, 69.09, 180.00, 10k, R0603
R27, 30.48, 71.63, 0.00, 10k, R0603
R28, 30.48, 74.17, 0.00, 10k, R0603
R29, 30.48, 76.71, 180.00, 10k, R0603
R3, 30.48, 37.08, 0.00, 10k, R0603
R30, 30.48, 79.25, 0.00, 10k, R0603
R4, 30.48, 39.62, 0.00, 10k, R0603
R5, 30.48, 42.16, 180.00, 10k, R0603
R6, 30.48, 44.70, 0.00, 10k, R0603
R8, 7.11, 54.86, 270.00, 75R, R0603
R9, 7.11, 39.12, 270.00, 75R, R0603
